Positive_Pleios_Mean,Negative_Pleios_Mean,MW_P_Value
0.07237803993992013,0.2206736229192615,0.13726771595825238
-0.014971292552765848,0.05270051425110005,0.4317732549950788
0.10189143104673658,-0.027104988415728965,0.5036078736774885
0.0662073356333283,-0.16962382873316442,0.16220407788110625
-0.07837015691782877,-0.12862471942330278,0.6158142818745274
0.004492300683343222,0.09207990902686729,0.3377021079597362
-0.007475452815166108,-0.028605887634854783,0.9022192881482074
0.03561445736254196,-0.014621992449250503,0.8586625938779721
-0.03970981225334276,-0.2557855313954276,0.0920227665341758
0.0589900166923042,-0.10085917260825938,0.2664604901549855
-0.1205688965748318,0.015456207982620335,0.2825189537623687
0.026945922239643236,-0.02809590205623941,0.322619988694374
0.0684790283183016,-0.15778752834752083,0.051687997500224264
0.033523341314647584,0.10236245202692104,0.419743122931144
0.07867067307365692,-0.0993084397825685,0.21793247796403392
-0.11059847355774811,-0.027522196760165867,0.7336459825540826
-0.13198835528873423,-0.0962013628178013,0.950467364713978
-0.04386326852764954,-0.11057155208565457,0.42053880248177344
-0.10576714604370717,0.0829680657157349,0.0969190175588772
0.04755846845140963,-0.11748292351693072,0.24734612316518056
-0.14017478142884837,-0.04675264976894304,0.6477250835674183
-0.2773685830655562,-0.061019862062205936,0.241479398220816
0.024105039528133792,0.02662133404475218,0.8053658606748524
0.04728315550476566,-0.09578552958764623,0.18995176006408965
-0.2365881277651308,0.043823744667186366,0.10072388855741814
-0.057679190386220165,-0.18050743820103174,0.576579026474678
-0.07911987119830083,0.030977400383994727,0.3169138054613658
-0.0504795787352689,-0.11658673142593286,0.7856633432942224
-0.2547512661280851,-0.3087862834207181,0.7388504925395518
0.008445787945106021,0.059328146259472324,0.7057640609555581
-0.022035135092646447,-0.040211343142957025,0.9466204924526797
-0.24477656177469076,-0.027501508673978207,0.09498903841192846
-0.10308851414933978,0.11843805580989288,0.20285723037566405
0.0710184249552254,-0.22558959558660055,0.16830390592693867
-0.09376402404288595,0.028881201118022108,0.5340138618846193
0.15446800307414085,0.011284590708146235,0.6611747777248982
