Exposure1,Outcome,Exposure2,Method,Estimate_Exposure1,StdErr_Exposure1,Pvalue_Exposure1,Estimate_Exposure2,StdErr_Exposure2,Pvalue_Exposure2,OR_Exposure1,Lower_OR_CI_95%_Exposure1,Upper_OR_CI_95%_Exposure1,OR_Exposure2,Lower_OR_CI_95%_Exposure2,Upper_OR_CI_95%_Exposure2,Heterogeneity_Pvalue,Intercept_Pvalue,Direction_Exposure1,Significance_Exposure1,Direction_Exposure2,Significance_Exposure2
CMDKP2018AF,PLifespan,4066,IVW,-0.0373125704004004,0.00496591082232402,5.74609781205029e-14,0.394387607262291,0.0160502576816859,2.51466888795048e-133,0.963374965784369,0.954043743736157,0.972797453778702,1.48347544310611,1.43753393764353,1.53088517263553,4.33420216793476e-29,NA,negative,S,positive,S
CMDKP2018AF,PLifespan,4066,MR-Egger,-0.0376156591003344,0.00599385392791459,3.48053539680776e-10,0.394464565232881,0.0160815277913302,7.23852718680665e-133,0.963083021963112,0.951834967391072,0.974463997404829,1.4835896127587,1.43755646190055,1.53109682813821,3.41119571323866e-29,0.927963783949688,negative,S,positive,S
4311,PLifespan,4066,IVW,-0.445991498147367,0.142897140510527,0.00180197251657192,0.384208424641777,0.0164828320024171,3.54205693883755e-120,0.640189214832872,0.483806670321505,0.847119843378711,1.46845147126069,1.42176928860401,1.51666641045887,1.4539695015847e-24,NA,negative,S,positive,S
4311,PLifespan,4066,MR-Egger,-0.254767473776341,0.179911365120581,0.156754380897796,0.378818118922354,0.01674807725231,2.84338109176523e-113,0.775096707318892,0.544768824567187,1.10280705980908,1.46055736383652,1.41339114964653,1.50929755969576,2.91697950303932e-24,0.0809114994598606,negative,NS,positive,S
3685,PLifespan,4066,IVW,-0.0912490690016427,0.0122722609036568,1.0425841824576e-13,0.387758776188295,0.0177422456869095,6.9499802550361e-106,0.912790334806874,0.891096367875473,0.935012446861728,1.47367425608767,1.42330833422517,1.52582245240473,7.47580192726067e-41,NA,negative,S,positive,S
3685,PLifespan,4066,MR-Egger,-0.101725731655949,0.0148271617167415,6.84908336238565e-12,0.38920390486703,0.0177725481251765,2.64604101766401e-106,0.9032772580561,0.877404669209938,0.929912768364949,1.47580544456815,1.42528203087561,1.52811981280572,1.07958229364486e-40,0.208380884665446,negative,S,positive,S
3688,PLifespan,4066,IVW,-0.413025406425123,0.0199033093997794,1.18592470716526e-95,0.32360233988715,0.0190301127238846,7.5725467077124e-65,0.661645472568148,0.636331329571061,0.687966647288958,1.38209759274228,1.33149626205399,1.43462194397551,1.36766512131859e-60,NA,negative,S,positive,S
3688,PLifespan,4066,MR-Egger,-0.438427277392236,0.0235684886458193,3.08013049639808e-77,0.333756596471084,0.0196572650237002,1.17889398532143e-64,0.645050108638528,0.61593027293793,0.675546666459285,1.39620326141101,1.34343310604787,1.451046232521,8.52909725889761e-60,0.0452365352058087,negative,S,positive,S
GCST010003,PLifespan,4066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST009541,PLifespan,4066,IVW,-0.190795976718922,0.0166972961741874,3.07368582403728e-30,0.342638217308633,0.0174000649845042,2.53628926136666e-86,0.826301155627694,0.79969675676242,0.853790632534109,1.40865904126879,1.36142791975127,1.45752872095558,2.34646587404532e-29,NA,negative,S,positive,S
GCST009541,PLifespan,4066,MR-Egger,-0.22476382275031,0.0232393562299295,3.97759081647717e-22,0.345900942546315,0.0174283856065677,1.17010124567404e-87,0.798704832396005,0.763140623737255,0.835926419653379,1.41326261468771,1.3658013237512,1.46237317488337,8.61127210322514e-29,0.0360663121574729,negative,S,positive,S
4085,PLifespan,4066,IVW,-0.0311696796228175,0.00431557745725539,5.1003752171884e-13,0.382173763010412,0.015956000401559,8.86517111030096e-127,0.969311086781837,0.961146716086916,0.977544808958407,1.46546670691705,1.42034528743974,1.5120215401661,6.39939250367791e-31,NA,negative,S,positive,S
4085,PLifespan,4066,MR-Egger,-0.0215134296236933,0.00554548975574351,0.000104694517225453,0.368659853233104,0.0166414099459166,9.72479832003507e-109,0.978716333588826,0.968136112460099,0.989412180069911,1.44579573728047,1.39939876350393,1.49373099966478,4.92781815442879e-30,0.00579671112146828,negative,S,positive,S
4267,PLifespan,4066,IVW,-0.0881650348659495,0.0178286185267331,7.60887179558332e-07,0.393455515161516,0.0161030342343783,7.51404538124429e-132,0.915609756720172,0.884167170627453,0.948170498126773,1.48209335158225,1.43604609265797,1.52961713000356,1.29952797567389e-24,NA,negative,S,positive,S
4267,PLifespan,4066,MR-Egger,-0.0934567814535438,0.0221227755587326,2.39514337344059e-05,0.393567935219703,0.0161140182758841,9.52198606714573e-132,0.910777379050085,0.872129443640012,0.951137976407708,1.48225997796897,1.43617662273902,1.52982203407431,1.07557480745589e-24,0.685910014484296,negative,S,positive,S
3691,PLifespan,4066,IVW,-0.459402811421027,0.0198947833372201,5.62047285629215e-118,0.292067380411957,0.0170901565137522,1.76774913205115e-65,0.631660753481196,0.607503959093715,0.656778118917381,1.33919324999219,1.29507767447846,1.38481158016014,3.50834214612203e-25,NA,negative,S,positive,S
3691,PLifespan,4066,MR-Egger,-0.458228954246646,0.0268539377815464,2.76225979916375e-65,0.291654891491463,0.0182358949293653,1.41945168897341e-57,0.6324026683543,0.599977771292281,0.666579920253095,1.33864096152843,1.29163975286681,1.38735248733595,2.76430236700678e-25,0.948070476392261,negative,S,positive,S
4266,PLifespan,4066,IVW,-0.0211039768366203,0.00808376808675407,0.00903674645054443,0.401009656574279,0.0165344651841549,6.1539981223102e-130,0.979117153772239,0.963726091411105,0.994754017095613,1.49333168889871,1.44571224727207,1.5425196385221,1.36548540727247e-35,NA,negative,S,positive,S
4266,PLifespan,4066,MR-Egger,-0.027670460896757,0.00991555134320643,0.0052608424310839,0.397233734764159,0.0168583948343097,9.24508231333463e-123,0.9727088595962,0.953987279453014,0.991797842503141,1.48770361747057,1.43934950788132,1.53768215524865,1.65613027299334e-35,0.252955494580089,negative,S,positive,S
1135,PLifespan,4066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3675,PLifespan,4066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST90011819,PLifespan,4066,IVW,-0.0173022171020541,0.0129382137527747,0.181126147042378,0.393426278903022,0.0166612057785385,2.81309878691596e-123,0.982846606692915,0.95823606586607,1.0080892242505,1.48205002135132,1.43443395590355,1.53124670309682,1.00764981839251e-27,NA,negative,NS,positive,S
GCST90011819,PLifespan,4066,MR-Egger,0.00384945267511568,0.0201568867362901,0.848545520621495,0.393675378478647,0.0166519179999088,1.44551741558466e-123,1.00385687133427,0.964970213143836,1.04431059570418,1.48241924536756,1.43481743654571,1.53160030193577,1.48467990454722e-27,0.171351181743398,positive,NS,positive,S
GCST90011810,PLifespan,4066,IVW,-0.00506208311629841,0.0117547375991417,0.666728734094283,0.393731127218139,0.0165579527626897,5.51230002231969e-125,0.994950707634723,0.972289801944833,1.01813976516335,1.48250189067555,1.43516172011106,1.53140362166746,2.90270325813884e-26,NA,negative,NS,positive,S
GCST90011810,PLifespan,4066,MR-Egger,-0.00878250889505826,0.0171000635455246,0.607535104149085,0.393662456245584,0.016570189759839,9.2421681316887e-125,0.991255944680889,0.958583472739965,1.02504202900205,1.48240008932434,1.43502875066328,1.53133519019262,2.30976717757822e-26,0.764374250926818,negative,NS,positive,S
GCST90014023,PLifespan,4066,IVW,-0.00849095423003085,0.00158824010934504,8.98496427895437e-08,0.391805156231191,0.017079233062537,1.83555376797212e-116,0.991544992110312,0.988463160801031,0.994636431955952,1.47964938285142,1.4309375508832,1.53001945809674,4.65189258355039e-53,NA,negative,S,positive,S
GCST90014023,PLifespan,4066,MR-Egger,-0.00596245786502495,0.00176657982208383,0.000737775953352856,0.381522760386712,0.017301057975925,9.1414107723594e-108,0.994055282311009,0.990619321357707,0.997503160887375,1.46451299471416,1.41568383044203,1.51502635374237,2.47392048613519e-51,0.00133596959007941,negative,S,positive,S
GCST90011808,PLifespan,4066,IVW,-0.0363027202333564,0.0101147866076116,0.000331854311887327,0.390405710627075,0.0164446770291221,1.37561888563224e-124,0.964348321543511,0.945418396376035,0.98365727685068,1.47758014225949,1.43071474867566,1.52598068819832,3.14625342885599e-27,NA,negative,S,positive,S
GCST90011808,PLifespan,4066,MR-Egger,-0.0473121990791637,0.0121269357642279,9.56323679517265e-05,0.389060482895444,0.0164470363723294,1.03966447647055e-123,0.953789578875185,0.931386453124711,0.976731578732866,1.47559379681945,1.42878479831409,1.52393632391753,5.90374115927222e-27,0.100674790070105,negative,S,positive,S
BCAC2020BC,PLifespan,4066,IVW,-0.0357763496252494,0.00485500976458073,1.71970388494362e-13,0.384919264784269,0.0160074225028981,9.12624255703491e-128,0.964856059773467,0.955718210029846,0.974081278677851,1.46949567660133,1.42410666684768,1.51633132111514,6.1568502900419e-34,NA,negative,S,positive,S
BCAC2020BC,PLifespan,4066,MR-Egger,-0.0308852410373179,0.00618906785021358,6.0288831034438e-07,0.382524847977687,0.0161128751857308,1.38315950538119e-124,0.969586835471194,0.957896241753349,0.981420106418074,1.46598130057565,1.42040723060275,1.51301762433686,7.97843269672855e-34,0.20278134476451,negative,S,positive,S
GCST90129442,PLifespan,4066,IVW,-0.0154422427989875,0.00412414802714377,0.000180863286599495,0.386252439311383,0.0165694804076011,3.42292634867438e-120,0.98467637726083,0.976748996013615,0.992668097835441,1.47145607729286,1.42443644415471,1.52002779505332,3.77803579469727e-25,NA,negative,S,positive,S
GCST90129442,PLifespan,4066,MR-Egger,-0.00347815766744747,0.00461924082246518,0.451466913348135,0.369731132075029,0.0165620287470313,2.15950397258498e-110,0.996527884116144,0.987546327207443,1.00559112667572,1.44734541758522,1.40111669187422,1.49509942316282,1.49249393626953e-21,7.02508697499387e-08,negative,NS,positive,S
GCST90132223,PLifespan,4066,IVW,-0.0121820760647422,0.00271257768740046,7.09030914430328e-06,0.390099612182805,0.0167750071895029,1.27172965479647e-119,0.987891825029901,0.982653485273225,0.993158089384431,1.47712792649146,1.42935114721279,1.52650166858972,1.59411123152867e-36,NA,negative,S,positive,S
GCST90132223,PLifespan,4066,MR-Egger,-0.0131911533766383,0.00312734457562299,2.4647394231743e-05,0.393620010964402,0.0176353580543885,2.3664380249695e-110,0.98689546858754,0.980864700660236,0.992963316207658,1.48233716977106,1.43197514161131,1.53447041155502,1.41373844497996e-36,0.516338346772474,negative,S,positive,S
PGC2019PTSD,PLifespan,4066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST009158,PLifespan,4066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PGC2019ASD,PLifespan,4066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3693,PLifespan,4066,IVW,-0.369924895609305,0.022772879092143,2.45929251010663e-59,0.316105608177559,0.0195166762866218,5.32130569257812e-59,0.69078620976654,0.660631067027991,0.722317813103096,1.37177511864685,1.32029199788764,1.42526575874825,7.81662731270198e-60,NA,negative,S,positive,S
3693,PLifespan,4066,MR-Egger,-0.447599514455729,0.0276597476697099,6.71886114458982e-59,0.338413321053843,0.0197738076428944,1.16259908643033e-65,0.639160607365415,0.605432245979972,0.674767960775649,1.40272015737917,1.34939542400693,1.45815215089075,1.45632269884445e-54,1.60684458575458e-06,negative,S,positive,S
PGC2019AN,PLifespan,4066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PGC2019MDD,PLifespan,4066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3437,PLifespan,4066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST90011816,PLifespan,4066,IVW,-0.0911003897688339,0.0173090311609651,1.41591818213567e-07,0.376916052867934,0.0166384051380197,1.2922007524185e-113,0.912926057862918,0.882473877795662,0.94442907387465,1.4577819276225,1.41100861548893,1.50610572123713,1.39755781296252e-22,NA,negative,S,positive,S
